UsuarioID,TIPO_CLIENTE_BEME,SEGMENTO_BEME,NANO_SEGMENTO,MICRO_SEGMENTO,MODULO,ZONA,CTA_CTA_BIPERSONAL,CTA_CTA_UNIPERSONAL,CUENTA_PROVEEDOR,CUENTA_RUT,CUENTA_EMPRENDEDOR,CAJA_VECINA,CHEQ_MICROEMPRESA,CHEQ_OTRA,CTA_CTE_OTRA,LINEA_DE_CREDITO,TARJETA,EDAD,COMPORTAMIENTO_SBIF,COMPORTAMIENTO_BEME,SEXO,TIPO_PERSONA,TIPO_SOCIEDAD_CRITERIO_BEME,TRX_APP,TRX_BATCH,TRX_BECO,TRX_Buzonera,TRX_Caja,TRX_Caja_Vecina,TRX_Cajero_Automatico,TRX_Dispensadores,TRX_FALABELLA,TRX_Internet,TRX_Meson,TRX_MYPE,TRX_RedBanc,TRX_RedCompra,TRX_ServiEstado,Uso_Digital_3M,Uso_Web_3M,Uso_App_3M,Uso_Digital_Anual,Uso_Web_Anual,Uso_App_Anual,Con_Clave_Atm,Con_Clave_INET,Hab_BIPass,PERFIL_RIESGO,INF_COMERCIAL,GRP_PROPENSION,TIPO_CLIENTE,TIENE_PREAP,CANAL
3551108,Microempresas,Transporte,Segmento B,Segmento B,Region 1,Zona 3,1,1,0,1,1,1,1,1,0,1,0,41,Malo,Regular,F,2,Sindicatos,72,82,45,53,92,41,76,34,54,84,23,1,75,84,53,0,0,0,1,1,0,0,1,0,Bueno,SUJETO DE CREDITO-EVALUABLE,[1]Alta_Propension,Cliente Finaciado,SI,SALESFORCE -WEB
5346035,deudor uso medio de pago,OMS,Segmento C,Segmento A,Region 3,Zona 3,1,1,0,0,0,0,0,1,1,0,0,62,Bueno,Bueno,M,2,Sociedad,68,98,8,39,40,63,98,3,15,5,26,21,40,67,93,0,1,1,1,1,0,1,1,0,Bueno,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Cliente No Financiado,SI,SALESFORCE -WEB
6910499,no deudor,Turismo,Segmento B,Segmento A,Region 1,Zona 1,0,1,0,1,1,0,1,1,0,1,1,42,Bueno,Malo,F,2,Federacion,2,1,57,21,21,40,62,28,48,56,4,69,9,10,94,1,1,0,0,0,1,0,1,1,Bueno,NO SUJETO DE CREDITO,[3]Baja_Propension,Cliente No Financiado,SI,VENTA CENTRALIZADA
4926425,deudor no comercial,Turismo,Segmento C,Segmento A,Region 1,Zona 3,0,1,1,0,1,0,1,0,0,0,0,68,Regular,Regular,F,1,Federacion,31,47,83,53,25,66,64,25,93,93,19,7,35,70,90,1,0,1,1,0,1,1,0,0,Malo,NO SUJETO DE CREDITO,[2]Media_Propension,Castigado o Sin Producto,NO,SALESFORCE -WEB
7409865,deudor comercial,OMS,Segmento C,Segmento A,Region 2,Zona 1,1,0,1,0,1,1,1,0,0,0,0,52,Malo,Malo,M,1,SPA,26,27,51,61,52,74,74,91,9,57,91,66,46,45,51,0,1,1,0,1,1,0,1,1,Malo,SUJETO DE CREDITO-EVALUABLE,[3]Baja_Propension,Cliente No Financiado,NO,SALESFORCE -WEB
4113137,Microempresas,Comercial,Segmento B,Segmento A,Region 1,Zona 2,1,0,0,0,1,1,0,1,0,0,1,47,Malo,Bueno,M,1,Federacion,49,20,85,31,20,24,37,45,23,8,19,31,92,67,28,0,1,0,0,0,1,1,0,0,Bueno,SUJETO DE CREDITO-EVALUABLE,[2]Media_Propension,Castigado o Sin Producto,SI,SALESFORCE -WEB
2017068,no deudor,Turismo,Segmento C,Segmento C,Region 2,Zona 1,0,1,1,1,0,0,0,0,1,1,1,67,Bueno,Bueno,M,1,Cooperativas,84,53,58,26,36,91,3,29,27,99,27,31,19,83,2,0,0,0,1,1,1,1,1,1,Excelente,SUJETO DE CREDITO-EVALUABLE,[3]Baja_Propension,Cliente Finaciado,SI,SALESFORCE - CCL
9650666,castigado,Transporte,Segmento A,Segmento C,Region 2,Zona 1,1,0,1,1,1,0,1,0,0,0,1,32,Regular,Malo,M,2,SPA,18,17,25,28,99,84,72,70,30,1,75,18,70,65,83,1,1,1,1,1,0,0,1,1,Bueno,NO SUJETO DE CREDITO,[3]Baja_Propension,Cliente No Financiado,SI,VENTA CENTRALIZADA
6633119,no deudor,Pesca,Segmento C,Segmento B,Region 3,Zona 2,1,0,1,0,0,0,1,0,0,0,0,28,Malo,Bueno,M,1,Cooperativas,29,51,13,89,44,45,13,85,98,4,25,19,78,43,97,0,1,1,0,1,1,0,1,1,Excelente,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Cliente No Financiado,SI,NULL
5401784,no deudor,Turismo,Segmento B,Segmento A,Region 2,Zona 3,1,0,1,1,0,1,1,0,0,1,1,60,Malo,Regular,F,1,Sociedad,95,1,92,59,89,72,76,40,57,10,32,53,93,14,60,1,1,0,1,0,1,1,1,1,Excelente,SUJETO DE CREDITO-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,SI,VENTA CENTRALIZADA
4112838,castigado,Pesca,Segmento A,Segmento B,Region 2,Zona 2,1,0,1,1,0,0,0,1,0,0,0,62,Bueno,Bueno,M,2,Federacion,86,98,2,71,22,67,96,24,47,75,84,42,37,45,30,0,1,1,1,1,1,0,0,0,Bueno,SUJETO DE CREDITO-EVALUABLE,[2]Media_Propension,Castigado o Sin Producto,NO,SALESFORCE -WEB
1626058,deudor comercial,Comercial,Segmento B,Segmento B,Region 2,Zona 1,1,1,0,0,1,1,0,1,1,1,1,30,Bueno,Bueno,F,1,Cooperativas,5,18,39,19,80,26,18,45,20,47,5,37,71,93,45,0,1,0,1,0,1,0,0,1,Malo,NO SUJETO DE CREDITO,[3]Baja_Propension,Cliente No Financiado,SI,SALESFORCE - CCL
8589062,deudor no comercial,Transporte,Segmento A,Segmento B,Region 3,Zona 1,1,0,1,1,1,0,1,0,0,1,0,53,Malo,Bueno,F,2,Cooperativas,39,69,50,90,38,82,27,65,80,42,27,75,91,65,83,0,1,0,0,0,0,0,1,1,Excelente,NO SUJETO DE CREDITO,[1]Alta_Propension,Cliente Finaciado,SI,NULL
1627265,Microempresas,Pesca,Segmento C,Segmento C,Region 2,Zona 1,0,0,1,0,1,1,0,1,1,1,0,48,Regular,Regular,M,1,Sindicatos,80,41,32,57,15,41,39,72,39,70,21,6,43,43,36,1,0,0,0,1,0,0,1,0,Bueno,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,SI,SALESFORCE -WEB
5291067,sin producto,Comercial,Segmento A,Segmento C,Region 2,Zona 3,1,0,1,1,1,0,1,1,0,0,1,26,Regular,Malo,M,2,Sindicatos,49,22,61,87,88,35,80,51,79,69,50,62,89,78,13,1,0,1,0,0,0,0,1,1,Bueno,NO SUJETO DE CREDITO,[3]Baja_Propension,Cliente No Financiado,NO,SALESFORCE -WEB
6995725,castigado,Turismo,Segmento C,Segmento B,Region 1,Zona 3,1,1,0,1,1,0,1,1,1,1,1,59,Malo,Regular,M,1,SPA,7,50,83,79,58,92,76,88,53,61,6,13,25,59,94,0,0,1,1,0,0,0,0,0,Bueno,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Cliente No Financiado,NO,SALESFORCE -WEB
1801676,deudor comercial,Pesca,Segmento A,Segmento A,Region 3,Zona 2,1,0,0,0,1,0,1,0,1,0,1,58,Malo,Regular,M,1,Cooperativas,81,38,5,6,34,29,72,83,19,41,42,12,41,72,16,1,0,1,1,0,1,0,1,1,Bueno,SUJETO DE CREDITO-EVALUABLE,[3]Baja_Propension,Cliente Finaciado,SI,RED SUCURSALES
4353668,castigado,OMS,Segmento B,Segmento C,Region 2,Zona 3,1,1,1,1,1,0,0,0,1,0,0,30,Bueno,Malo,F,2,Sindicatos,87,62,85,49,63,34,88,66,98,55,29,69,37,76,94,1,1,0,1,0,1,0,1,1,Bueno,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Cliente No Financiado,SI,RED SUCURSALES
7010909,deudor no comercial,OMS,Segmento C,Segmento A,Region 1,Zona 3,0,0,1,1,0,0,0,1,1,1,0,74,Bueno,Malo,F,1,SPA,9,35,53,15,39,3,15,57,7,84,69,35,58,64,1,0,1,1,1,1,0,1,1,1,Bueno,SUJETO DE CREDITO-EVALUABLE,[3]Baja_Propension,Castigado o Sin Producto,NO,RED SUCURSALES
5796817,Microempresas,OMS,Segmento A,Segmento B,Region 3,Zona 1,0,1,0,0,0,0,0,1,0,0,0,47,Regular,Bueno,M,2,Sociedad,52,89,20,11,88,18,12,23,21,66,42,23,1,75,47,0,1,0,0,1,0,1,0,1,Malo,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Cliente Finaciado,SI,VENTA CENTRALIZADA
3879751,sin producto,Transporte,Segmento B,Segmento C,Region 1,Zona 3,0,1,1,1,1,0,0,1,0,1,0,68,Malo,Bueno,M,1,Federacion,63,90,7,41,64,0,87,28,35,62,85,28,12,87,53,1,0,0,1,1,0,1,0,1,Bueno,SUJETO DE CREDITO-EVALUABLE,[3]Baja_Propension,Cliente Finaciado,SI,VENTA CENTRALIZADA
5474139,Microempresas,Turismo,Segmento C,Segmento C,Region 1,Zona 3,0,1,0,0,1,1,1,0,1,0,1,73,Malo,Bueno,M,2,Cooperativas,29,16,65,2,50,69,75,97,12,18,12,21,39,76,64,1,1,0,1,1,0,1,1,1,Bueno,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente Finaciado,NO,NULL
4027076,Microempresas,Pesca,Segmento A,Segmento C,Region 1,Zona 1,1,0,1,1,1,1,0,1,0,1,0,21,Regular,Regular,M,2,Sociedad,40,26,67,84,54,21,67,87,10,39,77,80,71,62,65,1,1,1,1,0,1,0,0,0,Malo,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente Finaciado,NO,VENTA CENTRALIZADA
3873211,no deudor,Turismo,Segmento C,Segmento C,Region 2,Zona 3,0,0,0,0,0,1,1,1,0,0,0,33,Malo,Malo,F,1,Sindicatos,93,15,10,46,7,14,10,1,35,46,35,59,79,42,58,1,1,1,0,1,1,1,1,0,Malo,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Cliente Finaciado,NO,NULL
4511316,no deudor,Comercial,Segmento C,Segmento C,Region 1,Zona 1,1,1,0,0,1,0,1,0,0,1,0,31,Malo,Regular,M,1,Federacion,39,57,65,46,46,53,28,39,68,9,77,57,34,54,47,0,1,0,0,1,1,1,0,0,Excelente,NO SUJETO DE CREDITO,[2]Media_Propension,Cliente Finaciado,NO,SALESFORCE -WEB
2665255,Microempresas,Agricola,Segmento C,Segmento A,Region 2,Zona 1,0,1,0,1,0,0,0,1,1,0,1,41,Regular,Malo,F,2,Cooperativas,13,73,28,76,58,69,81,62,47,17,96,36,52,84,23,0,0,0,1,1,1,0,1,0,Malo,NO SUJETO DE CREDITO,[1]Alta_Propension,Cliente Finaciado,NO,SALESFORCE - CCL
5549258,Microempresas,Agricola,Segmento C,Segmento A,Region 1,Zona 2,1,1,0,0,1,1,1,1,1,1,0,51,Malo,Regular,F,1,Sindicatos,67,72,69,65,35,40,52,64,12,77,22,93,92,78,32,1,1,1,0,1,1,1,1,0,Bueno,NO SUJETO DE CREDITO,[2]Media_Propension,Castigado o Sin Producto,NO,SALESFORCE - CCL
7395881,no deudor,Transporte,Segmento A,Segmento B,Region 1,Zona 3,0,0,0,0,1,0,0,1,1,1,1,35,Bueno,Malo,M,2,SPA,96,50,85,18,83,0,72,27,41,69,4,72,41,7,68,0,1,1,1,1,1,0,0,0,Bueno,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,NO,SALESFORCE - CCL
6229425,castigado,OMS,Segmento C,Segmento C,Region 1,Zona 3,0,1,1,1,0,1,0,1,1,0,1,66,Regular,Malo,M,2,SPA,67,2,82,13,34,58,86,0,18,13,80,92,61,53,4,1,1,0,0,1,1,0,0,1,Bueno,NO SUJETO DE CREDITO,[2]Media_Propension,Cliente No Financiado,NO,VENTA CENTRALIZADA
1283977,castigado,Comercial,Segmento B,Segmento A,Region 2,Zona 1,0,1,0,0,0,1,0,0,1,1,1,52,Malo,Regular,F,1,Cooperativas,13,24,78,68,97,77,37,10,6,78,61,85,31,37,44,0,1,1,0,0,0,1,0,0,Bueno,NO SUJETO DE CREDITO,[2]Media_Propension,Castigado o Sin Producto,NO,VENTA CENTRALIZADA
6956222,deudor uso medio de pago,OMS,Segmento C,Segmento B,Region 3,Zona 2,1,0,1,1,0,1,0,0,0,0,1,27,Malo,Regular,F,2,Sociedad,26,4,73,69,1,26,42,31,27,24,83,45,82,50,71,0,0,0,1,0,0,0,1,0,Malo,SUJETO DE CREDITO-EVALUABLE,[1]Alta_Propension,Cliente Finaciado,NO,VENTA CENTRALIZADA
2413495,deudor comercial,Comercial,Segmento A,Segmento B,Region 3,Zona 3,0,1,1,0,1,0,0,1,1,1,1,70,Regular,Regular,M,2,SPA,31,53,10,60,17,89,83,60,74,23,86,29,45,89,76,0,0,0,1,1,0,0,0,1,Malo,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Cliente No Financiado,NO,SALESFORCE -WEB
1968517,castigado,Agricola,Segmento C,Segmento C,Region 2,Zona 1,1,1,1,0,1,1,0,0,1,1,1,51,Regular,Bueno,F,1,Cooperativas,31,59,39,84,70,48,78,21,99,66,66,2,66,76,9,0,0,1,1,0,0,0,0,1,Excelente,NO SUJETO DE CREDITO,[2]Media_Propension,Cliente No Financiado,SI,NULL
3861843,sin producto,Turismo,Segmento A,Segmento B,Region 2,Zona 1,1,1,0,0,1,1,0,0,1,0,0,54,Regular,Malo,F,1,Federacion,26,6,41,24,30,41,94,70,54,89,62,63,17,11,72,0,0,0,1,1,1,0,0,0,Malo,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Cliente No Financiado,NO,NULL
9956774,deudor no comercial,Comercial,Segmento B,Segmento B,Region 1,Zona 2,0,0,1,0,1,1,1,0,0,0,1,57,Bueno,Malo,M,1,Federacion,63,87,91,86,81,91,45,49,48,58,96,47,33,66,40,1,1,0,0,1,1,1,0,0,Bueno,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Cliente No Financiado,NO,SALESFORCE - CCL
8264696,Microempresas,Transporte,Segmento B,Segmento C,Region 3,Zona 2,1,0,1,0,0,1,0,1,1,1,0,74,Malo,Regular,M,2,Sindicatos,40,21,3,92,51,71,20,27,84,41,92,10,59,93,79,1,1,0,1,0,0,1,0,1,Malo,NO SUJETO DE CREDITO,[1]Alta_Propension,Castigado o Sin Producto,NO,SALESFORCE -WEB
5207308,no deudor,OMS,Segmento C,Segmento C,Region 2,Zona 3,1,1,0,1,0,0,1,0,1,0,0,53,Malo,Regular,M,2,Cooperativas,15,48,6,14,58,27,68,67,33,93,77,83,84,69,81,0,1,0,1,0,0,0,1,0,Bueno,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Cliente No Financiado,SI,SALESFORCE -WEB
8604542,sin producto,Comercial,Segmento A,Segmento C,Region 1,Zona 2,0,0,1,1,1,1,1,0,0,0,1,59,Bueno,Regular,F,2,Sociedad,31,80,64,60,32,72,2,33,93,38,82,7,55,40,56,0,0,1,0,1,0,0,1,1,Bueno,SUJETO DE CREDITO-EVALUABLE,[2]Media_Propension,Cliente Finaciado,NO,SALESFORCE - CCL
1049337,Microempresas,Transporte,Segmento B,Segmento A,Region 3,Zona 3,1,0,1,0,1,1,0,1,0,0,1,59,Regular,Bueno,M,2,Sindicatos,88,53,60,84,21,78,33,84,45,13,32,77,37,94,97,0,1,0,0,0,0,0,1,0,Excelente,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,SI,VENTA CENTRALIZADA
7411332,deudor uso medio de pago,Comercial,Segmento B,Segmento C,Region 2,Zona 1,0,1,1,0,0,0,0,0,0,1,1,27,Bueno,Malo,F,1,Sindicatos,77,30,62,93,59,73,72,96,75,2,94,50,7,51,78,1,0,0,1,0,1,0,1,1,Malo,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,SI,NULL
6457637,deudor uso medio de pago,OMS,Segmento B,Segmento C,Region 1,Zona 1,1,1,1,1,1,1,0,1,0,0,1,57,Regular,Bueno,F,2,Sindicatos,88,86,44,48,93,39,5,35,55,48,10,75,1,69,26,1,1,1,1,1,1,0,1,1,Bueno,SUJETO DE CREDITO-EVALUABLE,[3]Baja_Propension,Cliente Finaciado,NO,SALESFORCE -WEB
2455741,deudor comercial,Turismo,Segmento A,Segmento A,Region 2,Zona 3,1,0,0,0,1,0,0,0,0,1,0,30,Bueno,Bueno,M,1,Sociedad,16,78,95,81,85,84,91,3,65,35,12,38,88,75,72,0,1,1,0,1,0,1,1,1,Malo,SUJETO DE CREDITO-EVALUABLE,[3]Baja_Propension,Cliente Finaciado,SI,SALESFORCE -WEB
1893521,no deudor,Agricola,Segmento A,Segmento B,Region 2,Zona 1,1,0,0,0,1,0,0,0,0,0,1,45,Bueno,Malo,M,2,Sociedad,1,59,97,59,71,88,87,34,99,82,64,88,7,81,19,1,0,0,1,0,0,1,1,1,Bueno,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Cliente Finaciado,SI,NULL
1204491,no deudor,Agricola,Segmento B,Segmento C,Region 3,Zona 2,0,1,1,1,1,1,0,0,0,1,0,70,Malo,Malo,F,2,Sociedad,53,37,86,30,47,9,45,45,46,29,11,58,77,86,14,1,1,1,0,0,0,0,1,1,Excelente,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,SI,VENTA CENTRALIZADA
1024279,deudor comercial,Pesca,Segmento A,Segmento B,Region 3,Zona 2,1,1,0,0,0,0,0,0,0,1,1,62,Regular,Malo,F,2,SPA,39,96,94,88,24,17,16,72,25,40,0,92,94,7,84,1,0,0,1,0,1,1,0,0,Excelente,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Castigado o Sin Producto,SI,NULL
9471035,deudor comercial,Comercial,Segmento C,Segmento B,Region 2,Zona 3,1,1,1,1,0,1,0,1,1,0,1,38,Malo,Regular,F,2,Sindicatos,37,64,15,51,27,56,80,22,94,69,24,47,86,59,3,0,1,0,0,1,1,0,1,0,Bueno,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,SI,NULL
7359880,sin producto,Turismo,Segmento B,Segmento A,Region 2,Zona 1,0,1,1,0,0,0,0,1,1,1,0,33,Malo,Bueno,M,2,Federacion,33,17,54,34,39,25,33,43,14,7,22,35,30,78,79,0,0,0,0,1,1,1,0,1,Bueno,NO SUJETO DE CREDITO,[3]Baja_Propension,Cliente Finaciado,SI,SALESFORCE - CCL
2594292,deudor no comercial,Agricola,Segmento B,Segmento B,Region 2,Zona 2,0,0,1,1,0,1,0,1,1,1,1,51,Bueno,Regular,F,2,Cooperativas,78,28,4,33,73,20,58,7,57,74,78,80,87,18,10,0,1,0,1,1,0,1,1,0,Bueno,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Cliente Finaciado,SI,SALESFORCE - CCL
9754610,no deudor,OMS,Segmento B,Segmento B,Region 3,Zona 3,0,0,0,1,1,0,1,1,0,1,0,37,Regular,Bueno,F,1,SPA,65,63,28,2,70,3,22,23,67,19,63,33,41,28,63,1,1,1,1,1,0,1,0,0,Excelente,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Cliente No Financiado,SI,SALESFORCE - CCL
5714236,deudor no comercial,Turismo,Segmento B,Segmento A,Region 2,Zona 2,0,0,1,0,1,0,1,0,0,0,1,38,Bueno,Malo,F,2,Cooperativas,71,60,75,98,41,48,56,60,53,80,75,40,17,84,26,0,0,0,0,0,1,0,1,0,Bueno,SUJETO DE CREDITO-EVALUABLE,[2]Media_Propension,Cliente No Financiado,SI,RED SUCURSALES
4090058,deudor comercial,Transporte,Segmento C,Segmento A,Region 2,Zona 2,0,1,0,1,1,0,0,0,1,1,0,47,Regular,Regular,F,2,Sindicatos,15,85,43,28,47,26,38,46,48,43,66,47,29,72,8,1,1,0,0,1,1,0,1,0,Bueno,NO SUJETO DE CREDITO,[3]Baja_Propension,Castigado o Sin Producto,SI,VENTA CENTRALIZADA
1394646,deudor uso medio de pago,Agricola,Segmento C,Segmento A,Region 2,Zona 1,1,0,0,1,0,1,0,0,1,1,1,70,Bueno,Malo,F,1,Sociedad,35,33,65,16,5,30,85,54,89,0,42,78,57,46,75,0,0,1,1,0,0,0,0,1,Excelente,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Castigado o Sin Producto,NO,RED SUCURSALES
5747342,deudor uso medio de pago,Agricola,Segmento C,Segmento B,Region 1,Zona 1,0,1,0,0,1,1,1,0,0,1,0,35,Regular,Bueno,M,2,SPA,19,66,49,37,17,58,67,96,99,88,58,95,69,56,79,1,1,0,1,1,1,0,1,0,Bueno,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente Finaciado,NO,RED SUCURSALES
2282068,sin producto,Pesca,Segmento A,Segmento C,Region 1,Zona 2,1,1,1,0,1,0,0,1,1,0,0,53,Bueno,Regular,F,2,Sindicatos,41,61,39,62,51,10,64,93,61,1,63,72,4,25,20,1,0,1,0,1,1,1,0,0,Excelente,SUJETO DE CREDITO-EVALUABLE,[3]Baja_Propension,Cliente Finaciado,NO,SALESFORCE -WEB
3429084,Microempresas,Agricola,Segmento B,Segmento C,Region 2,Zona 2,1,0,0,1,1,0,0,1,0,1,0,50,Bueno,Regular,M,2,SPA,31,41,27,50,11,49,3,13,83,56,42,27,92,44,88,0,1,1,0,0,1,0,1,1,Bueno,CON OBSERVACIONES-EVALUABLE,[3]Baja_Propension,Cliente Finaciado,SI,NULL
7305112,deudor no comercial,Transporte,Segmento B,Segmento C,Region 3,Zona 2,1,0,1,1,0,0,1,0,0,1,0,31,Regular,Regular,M,2,Cooperativas,1,32,20,46,76,70,36,84,21,73,17,71,37,2,32,0,1,1,1,1,1,0,0,1,Malo,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Cliente Finaciado,NO,SALESFORCE -WEB
